Results Output File From Project 2 - EE160
==========================================
Input file read:        out2b.csv
Original data series (x,y) and generated fit are given below

      x   ,     y   ,     ycalc
     ===  ,    ===  ,     ======
   -4.000 ,  768.100 ,  762.685
   -3.800 ,  617.123 ,  626.071
   -3.600 ,  513.555 ,  508.117
   -3.400 ,  400.729 ,  407.018
   -3.200 ,  326.072 ,  321.060
   -3.000 ,  244.300 ,  248.623
   -2.800 ,  192.466 ,  188.179
   -2.600 ,  135.385 ,  138.295
   -2.400 ,  101.019 ,   97.630
   -2.200 ,   63.011 ,   64.937
   -2.000 ,   41.500 ,   39.062
   -1.800 ,   17.677 ,   18.944
   -1.600 ,    5.144 ,    3.615
   -1.400 ,   -8.643 ,   -7.798
   -1.200 ,  -15.338 ,  -16.077
   -1.000 ,  -22.500 ,  -21.909
   -0.800 ,  -25.759 ,  -25.890
   -0.600 ,  -28.970 ,  -28.520
   -0.400 ,  -30.458 ,  -30.207
   -0.200 ,  -31.655 ,  -31.266
    0.000 ,  -32.300 ,  -31.919
    0.200 ,  -32.682 ,  -32.294
    0.400 ,  -32.675 ,  -32.425
    0.600 ,  -32.704 ,  -32.254
    0.800 ,  -31.499 ,  -31.631
    1.000 ,  -30.900 ,  -30.310
    1.200 ,  -27.213 ,  -27.952
    1.400 ,  -24.973 ,  -24.128
    1.600 ,  -16.783 ,  -18.311
    1.800 ,  -11.152 ,   -9.885
    2.000 ,    4.300 ,    1.862
    2.200 ,   15.808 ,   17.734
    2.400 ,   42.017 ,   38.628
    2.600 ,   62.627 ,   65.536
    2.800 ,  103.827 ,   99.542
    3.000 ,  137.500 ,  141.823
    3.200 ,  198.661 ,  193.649
    3.400 ,  250.096 ,  256.384
    3.600 ,  336.925 ,  331.487
    3.800 ,  411.558 ,  420.506
    4.000 ,  530.500 ,  525.086

Polynomial order chosen for fit: 4

The linear least-squares best fit to data is:
y = -31.91918*x^0 + -2.50005*x^1 + 3.38110*x^2 + -1.70000*x^3 + 2.42854*x^4

End of output file.

